URL Links,Department Initials,Title,Catalog Page
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-engineering/,ecs,Doctor of Philosophy in Computer Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-science/,ecs,Master of Science in Computer Science,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science#computer-science-ms
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-science/,ecs,Doctor of Philosophy in Computer Science,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science
https://www.utdallas.edu/fact-sheets/epps/ms-criminology/,epps,Master of Science in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-ms
https://www.utdallas.edu/fact-sheets/epps/phd-criminology/,epps,Doctor of Philosophy in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-phd
https://www.utdallas.edu/fact-sheets/epps/ms-economics/,epps,Master of Science in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-ms
https://www.utdallas.edu/fact-sheets/epps/phd-economics/,epps,Doctor of Philosophy in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-phd
https://www.utdallas.edu/fact-sheets/ecs/ms-electrical-engineering/,ecs,Master of Science in Electrical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/electrical-engineering#electrical-engineering-ms
https://www.utdallas.edu/fact-sheets/ecs/phd-electrical-engineering/,ecs,Doctor of Philosophy in Electrical Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/electrical-engineering
https://www.utdallas.edu/fact-sheets/jsom/ms-financial-technology-analytics/,jsom,Master of Science in Financial Technology and Analytics,https://catalog.utdallas.edu/now/graduate/programs/jsom/financial-technology-and-analytics
https://www.utdallas.edu/fact-sheets/nsm/ms-geosciences/,nsm,Master of Science in Geosciences,https://catalog.utdallas.edu/now/graduate/programs/nsm/geosciences#geosciences-ms
https://www.utdallas.edu/fact-sheets/nsm/phd-geosciences/,nsm,Doctor of Philosophy in Geosciences,https://catalog.utdallas.edu/now/graduate/programs/nsm/geosciences#geosciences-phd
https://www.utdallas.edu/fact-sheets/epps/ms-geospatial-information-sciences/,epps,Master of Science in Geospatial Information Sciences,https://catalog.utdallas.edu/now/graduate/programs/epps/geospatial-information-science#master-of-science-in-geospatial-information-sciences
https://www.utdallas.edu/fact-sheets/epps/phd-geospatial-information-sciences/,epps,Doctor of Philosophy in Geospatial Information Sciences,https://catalog.utdallas.edu/now/graduate/programs/epps/geospatial-information-science#geospatial-information-science-phd
https://www.utdallas.edu/fact-sheets/jsom/ms-healthcare-leadership-and-management/,jsom,Master of Science in Healthcare Leadership and Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/healthcare-management
https://www.utdallas.edu/fact-sheets/ah/ma-history/,ah,Master of Arts in History,https://catalog.utdallas.edu/now/graduate/programs/ah/history
https://www.utdallas.edu/fact-sheets/ah/ma-history-of-ideas/,ah,Master of Arts in History of Ideas,https://catalog.utdallas.edu/2021/graduate/programs/ah/history-of-ideas#overview
https://www.utdallas.edu/fact-sheets/ah/phd-history-of-ideas/,ah,Doctor of Philosophy in History of Ideas,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd
https://www.utdallas.edu/fact-sheets/bbs/ms-human-development-and-early-childhood-disorders/,bbs,Master of Science in Human Development and Early Childhood Disorders,https://catalog.utdallas.edu/now/graduate/programs/bbs/human-development-and-early-childhood-disorders
https://www.utdallas.edu/fact-sheets/ah/ma-humanities/,ah,Master of Arts in Humanities,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-ma
https://www.utdallas.edu/fact-sheets/ah/phd-humanities/,ah,Doctor of Philosophy in Humanities,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd
https://www.utdallas.edu/fact-sheets/jsom/ms-information-technology-and-management/,jsom,Master of Science in Information Technology and Management,http://catalog.utdallas.edu/now/graduate/programs/jsom/information-technology-management
https://www.utdallas.edu/fact-sheets/jsom/ms-innovation-and-entrepreneurship/,jsom,Master of Science in Innovation and Entrepreneurship,http://catalog.utdallas.edu/now/graduate/programs/jsom/innovation-entrepreneurship
https://www.utdallas.edu/fact-sheets/is/ma-interdisciplinary-studies/,is,Master of Arts in Interdisciplinary Studies,http://catalog.utdallas.edu/now/graduate/programs/is
https://www.utdallas.edu/fact-sheets/jsom/ms-international-management-studies/,jsom,Master of Science in International Management Studies,http://catalog.utdallas.edu/now/graduate/programs/jsom/international-management-studies
https://www.utdallas.edu/fact-sheets/jsom/phd-international-management-studies/,jsom,Doctor of Philosophy in International Management Studies,http://catalog.utdallas.edu/now/graduate/programs/jsom/phd#international-management-studies-phd
https://www.utdallas.edu/fact-sheets/epps/ms-international-political-economy/,epps,Master of Science in International Political Economy,https://catalog.utdallas.edu/now/graduate/programs/epps/public-policy-and-political-economy#master-of-science-in-international-political-economy
https://www.utdallas.edu/fact-sheets/ah/ma-latin-american-studies/,ah,Master of Arts in Latin American Studies,https://catalog.utdallas.edu/now/graduate/programs/ah/latin-american-studies
https://www.utdallas.edu/fact-sheets/ah/ma-literature/,ah,Master of Arts in Literature,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#overview
https://www.utdallas.edu/fact-sheets/ah/phd-literature/,ah,Doctor of Philosophy in Literature,https://catalog.utdallas.edu/now/graduate/programs/ah/humanities#humanities-phd
https://www.utdallas.edu/fact-sheets/jsom/ms-management-science/,jsom,Master of Science in Management Science,https://catalog.utdallas.edu/now/graduate/programs/jsom/management-science
