URL Links,Department Initials,Title,Catalog Page,Course File Name
https://www.utdallas.edu/fact-sheets/bbs/ms-communication-disorders/,bbs,Master of Science in Speech-Language Pathology,https://catalog.utdallas.edu/2020/graduate/programs/bbs,courses/Master of Science in Speech-Language Pathology.csv
https://www.utdallas.edu/fact-sheets/bbs/phd-communication-sciences-and-disorders/,bbs,"Doctor of Philosophy in Speech, Language, And Hearing Sciences",https://catalog.utdallas.edu/now/graduate/programs/bbs/doctoral-programs,"courses/Doctor of Philosophy in Speech, Language, And Hearing Sciences.csv"
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-engineering/,ecs,Master of Science in Computer Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering#computer-engineering-ms,courses/Master of Science in Computer Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-engineering/,ecs,Doctor of Philosophy in Computer Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-engineering,courses/Doctor of Philosophy in Computer Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-computer-science/,ecs,Master of Science in Computer Science,http://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science#computer-science-ms,courses/Master of Science in Computer Science.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-computer-science/,ecs,Doctor of Philosophy in Computer Science,https://catalog.utdallas.edu/now/graduate/programs/ecs/computer-science,courses/Doctor of Philosophy in Computer Science.csv
https://www.utdallas.edu/fact-sheets/epps/ms-criminology/,epps,Master of Science in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-ms,courses/Master of Science in Criminology.csv
https://www.utdallas.edu/fact-sheets/epps/phd-criminology/,epps,Doctor of Philosophy in Criminology,https://catalog.utdallas.edu/now/graduate/programs/epps/criminology#criminology-phd,courses/Doctor of Philosophy in Criminology.csv
https://www.utdallas.edu/fact-sheets/epps/ms-economics/,epps,Master of Science in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-ms,courses/Master of Science in Economics.csv
https://www.utdallas.edu/fact-sheets/epps/phd-economics/,epps,Doctor of Philosophy in Economics,https://catalog.utdallas.edu/now/graduate/programs/epps/economics#economics-phd,courses/Doctor of Philosophy in Economics.csv
https://www.utdallas.edu/fact-sheets/ecs/ms-electrical-engineering/,ecs,Master of Science in Electrical Engineering,http://catalog.utdallas.edu/now/graduate/programs/ecs/electrical-engineering#electrical-engineering-ms,courses/Master of Science in Electrical Engineering.csv
https://www.utdallas.edu/fact-sheets/ecs/phd-electrical-engineering/,ecs,Doctor of Philosophy in Electrical Engineering,https://catalog.utdallas.edu/now/graduate/programs/ecs/electrical-engineering,courses/Doctor of Philosophy in Electrical Engineering.csv
https://www.utdallas.edu/fact-sheets/jsom/ms-financial-technology-analytics/,jsom,Master of Science in Financial Technology and Analytics,https://catalog.utdallas.edu/now/graduate/programs/jsom/financial-technology-and-analytics,courses/Master of Science in Financial Technology and Analytics.csv
https://www.utdallas.edu/fact-sheets/nsm/ms-geosciences/,nsm,Master of Science in Geosciences,https://catalog.utdallas.edu/now/graduate/programs/nsm/geosciences#geosciences-ms,courses/Master of Science in Geosciences.csv
https://www.utdallas.edu/fact-sheets/nsm/phd-geosciences/,nsm,Doctor of Philosophy in Geosciences,https://catalog.utdallas.edu/now/graduate/programs/nsm/geosciences#geosciences-phd,courses/Doctor of Philosophy in Geosciences.csv
https://www.utdallas.edu/fact-sheets/epps/ms-geospatial-information-sciences/,epps,Master of Science in Geospatial Information Sciences,https://catalog.utdallas.edu/now/graduate/programs/epps/geospatial-information-science#master-of-science-in-geospatial-information-sciences,courses/Master of Science in Geospatial Information Sciences.csv
https://www.utdallas.edu/fact-sheets/epps/phd-geospatial-information-sciences/,epps,Doctor of Philosophy in Geospatial Information Sciences,https://catalog.utdallas.edu/now/graduate/programs/epps/geospatial-information-science#geospatial-information-science-phd,courses/Doctor of Philosophy in Geospatial Information Sciences.csv
